constructorStandingsId,year,round,constructorId,points,position,positionText,wins
1,2010,1,ferrari,43,1,1,1
2,2010,1,mclaren,21,2,2,0
3,2010,1,mercedes,18,3,3,0
4,2010,1,red_bull,16,4,4,0
5,2010,1,force_india,2,5,5,0
6,2010,1,williams,1,6,6,0
7,2010,1,renault,0,7,7,0
8,2010,1,toro_rosso,0,8,8,0
9,2010,1,lotus_racing,0,9,9,0
10,2010,1,sauber,0,10,10,0
11,2010,1,hrt,0,11,11,0
12,2010,1,virgin,0,12,12,0
13,2010,2,ferrari,70,1,1,1
14,2010,2,mclaren,54,2,2,1
15,2010,2,mercedes,29,3,3,0
16,2010,2,renault,18,4,4,0
17,2010,2,red_bull,18,5,5,0
18,2010,2,force_india,8,6,6,0
19,2010,2,williams,5,7,7,0
20,2010,2,toro_rosso,0,8,8,0
21,2010,2,sauber,0,9,9,0
22,2010,2,lotus_racing,0,10,10,0
23,2010,2,hrt,0,11,11,0
24,2010,2,virgin,0,12,12,0
25,2010,3,ferrari,76,1,1,1
26,2010,3,mclaren,66,2,2,1
27,2010,3,red_bull,61,3,3,1
28,2010,3,mercedes,44,4,4,0
29,2010,3,renault,30,5,5,0
30,2010,3,force_india,18,6,6,0
31,2010,3,williams,6,7,7,0
32,2010,3,toro_rosso,2,8,8,0
33,2010,3,sauber,0,9,9,0
34,2010,3,lotus_racing,0,10,10,0
35,2010,3,hrt,0,11,11,0
36,2010,3,virgin,0,12,12,0
37,2010,4,mclaren,109,1,1,2
38,2010,4,ferrari,90,2,2,1
39,2010,4,red_bull,73,3,3,1
40,2010,4,mercedes,60,4,4,0
41,2010,4,renault,46,5,5,0
42,2010,4,force_india,18,6,6,0
43,2010,4,williams,6,7,7,0
44,2010,4,toro_rosso,2,8,8,0
45,2010,4,sauber,0,9,9,0
46,2010,4,lotus_racing,0,10,10,0
47,2010,4,hrt,0,11,11,0
48,2010,4,virgin,0,12,12,0
49,2010,5,mclaren,119,1,1,2
50,2010,5,ferrari,116,2,2,1
51,2010,5,red_bull,113,3,3,2
52,2010,5,mercedes,72,4,4,0
53,2010,5,renault,50,5,5,0
54,2010,5,force_india,24,6,6,0
55,2010,5,williams,8,7,7,0
56,2010,5,toro_rosso,3,8,8,0
57,2010,5,sauber,0,9,9,0
58,2010,5,lotus_racing,0,10,10,0
59,2010,5,hrt,0,11,11,0
60,2010,5,virgin,0,12,12,0
61,2010,6,red_bull,156,1,1,3
62,2010,6,ferrari,136,2,2,1
63,2010,6,mclaren,129,3,3,2
64,2010,6,mercedes,78,4,4,0
65,2010,6,renault,65,5,5,0
66,2010,6,force_india,30,6,6,0
67,2010,6,williams,8,7,7,0
68,2010,6,toro_rosso,4,8,8,0
69,2010,6,sauber,0,9,9,0
70,2010,6,lotus_racing,0,10,10,0
71,2010,6,hrt,0,11,11,0
72,2010,6,virgin,0,12,12,0
73,2010,7,mclaren,172,1,1,3
74,2010,7,red_bull,171,2,2,3
75,2010,7,ferrari,146,3,3,1
76,2010,7,mercedes,100,4,4,0
77,2010,7,renault,73,5,5,0
78,2010,7,force_india,32,6,6,0
79,2010,7,williams,8,7,7,0
80,2010,7,toro_rosso,4,8,8,0
81,2010,7,sauber,1,9,9,0
82,2010,7,lotus_racing,0,10,10,0
83,2010,7,hrt,0,11,11,0
84,2010,7,virgin,0,12,12,0
85,2010,8,mclaren,215,1,1,4
86,2010,8,red_bull,193,2,2,3
87,2010,8,ferrari,161,3,3,1
88,2010,8,mercedes,108,4,4,0
89,2010,8,renault,79,5,5,0
90,2010,8,force_india,35,6,6,0
91,2010,8,toro_rosso,8,7,7,0
92,2010,8,williams,8,8,8,0
93,2010,8,sauber,1,9,9,0
94,2010,8,lotus_racing,0,10,10,0
95,2010,8,hrt,0,11,11,0
96,2010,8,virgin,0,12,12,0
97,2010,9,mclaren,248,1,1,4
98,2010,9,red_bull,218,2,2,4
