driverStandingsId,year,round,driverId,points,position,positionText,wins
1,2010,1,alonso,25,1,1,1
2,2010,1,massa,18,2,2,0
3,2010,1,hamilton,15,3,3,0
4,2010,1,vettel,12,4,4,0
5,2010,1,rosberg,10,5,5,0
6,2010,1,michael_schumacher,8,6,6,0
7,2010,1,button,6,7,7,0
8,2010,1,webber,4,8,8,0
9,2010,1,liuzzi,2,9,9,0
10,2010,1,barrichello,1,10,10,0
11,2010,1,kubica,0,11,11,0
12,2010,1,sutil,0,12,12,0
13,2010,1,alguersuari,0,13,13,0
14,2010,1,hulkenberg,0,14,14,0
15,2010,1,kovalainen,0,15,15,0
16,2010,1,buemi,0,16,16,0
17,2010,1,trulli,0,17,17,0
18,2010,1,rosa,0,18,18,0
19,2010,1,bruno_senna,0,19,19,0
20,2010,1,glock,0,20,20,0
21,2010,1,petrov,0,21,21,0
22,2010,1,kobayashi,0,22,22,0
23,2010,1,grassi,0,23,23,0
24,2010,1,chandhok,0,24,24,0
25,2010,2,alonso,37,1,1,1
26,2010,2,massa,33,2,2,0
27,2010,2,button,31,3,3,1
28,2010,2,hamilton,23,4,4,0
29,2010,2,rosberg,20,5,5,0
30,2010,2,kubica,18,6,6,0
31,2010,2,vettel,12,7,7,0
32,2010,2,michael_schumacher,9,8,8,0
33,2010,2,liuzzi,8,9,9,0
34,2010,2,webber,6,10,10,0
35,2010,2,barrichello,5,11,11,0
36,2010,2,alguersuari,0,12,12,0
37,2010,2,sutil,0,13,13,0
38,2010,2,rosa,0,14,14,0
39,2010,2,kovalainen,0,15,15,0
40,2010,2,chandhok,0,16,16,0
41,2010,2,hulkenberg,0,17,17,0
42,2010,2,buemi,0,18,18,0
43,2010,2,trulli,0,19,19,0
44,2010,2,bruno_senna,0,20,20,0
45,2010,2,glock,0,21,21,0
46,2010,2,petrov,0,22,22,0
47,2010,2,kobayashi,0,23,23,0
48,2010,2,grassi,0,24,24,0
49,2010,3,massa,39,1,1,0
50,2010,3,alonso,37,2,2,1
51,2010,3,vettel,37,3,3,1
52,2010,3,button,35,4,4,1
53,2010,3,rosberg,35,5,5,0
54,2010,3,hamilton,31,6,6,0
55,2010,3,kubica,30,7,7,0
56,2010,3,webber,24,8,8,0
57,2010,3,sutil,10,9,9,0
58,2010,3,michael_schumacher,9,10,10,0
59,2010,3,liuzzi,8,11,11,0
60,2010,3,barrichello,5,12,12,0
61,2010,3,alguersuari,2,13,13,0
62,2010,3,hulkenberg,1,14,14,0
63,2010,3,buemi,0,15,15,0
64,2010,3,rosa,0,16,16,0
65,2010,3,kovalainen,0,17,17,0
66,2010,3,chandhok,0,18,18,0
67,2010,3,grassi,0,19,19,0
68,2010,3,bruno_senna,0,20,20,0
69,2010,3,trulli,0,21,21,0
70,2010,3,glock,0,22,22,0
71,2010,3,petrov,0,23,23,0
72,2010,3,kobayashi,0,24,24,0
73,2010,4,button,60,1,1,2
74,2010,4,rosberg,50,2,2,0
75,2010,4,alonso,49,3,3,1
76,2010,4,hamilton,49,4,4,0
77,2010,4,vettel,45,5,5,1
78,2010,4,massa,41,6,6,0
79,2010,4,kubica,40,7,7,0
80,2010,4,webber,28,8,8,0
81,2010,4,sutil,10,9,9,0
82,2010,4,michael_schumacher,10,10,10,0
83,2010,4,liuzzi,8,11,11,0
84,2010,4,petrov,6,12,12,0
85,2010,4,barrichello,5,13,13,0
86,2010,4,alguersuari,2,14,14,0
87,2010,4,hulkenberg,1,15,15,0
